Neologism,Explanation(English),Category,Mood,Channel,Age Group,Example Sentence,Background(English),Year,Whom to Use,Type,Language
Funado,"A slang term used to describe someone who has been ""canceled"" or criticized heavily on social media.",Negative Experiences,Negative,Twitter,10s-30s,Ese influencer fue funado por sus comentarios polémicos.,"Refers to being ""canceled"" or criticized publicly. Popular in internet culture. Derived from ""funar"" (to accuse or expose someone publicly).",2023,Casual,Word,Spanish
퇴준생,An office worker preparing to resign,lifestyle,Neutral,Community,20s-30s,나 요즘 퇴사 준비 중인 퇴준생이야. 이직 정보만 주구장창 찾아보고 있어.,This term appeared in an online community to refer to someone preparing to resign from their job.,2019,Casual,Word,Korean
알잘딱깔센,"Neatly, sensibly, and perfectly done without needing instruction",Humor and Exaggerated,Neutral,Broadcast,10s-20s,설명하지 않아도 알잘딱깔센으로 처리해주면 너무 고맙지.,"This Korean text translates to English as: ""Used like a meme among SNS and YouTubers, it's trending.""",2021,Casual,Word,Korean
갓생,A diligent and hardworking lifestyle,Positive Experiences,Neutral,Twitter,20s-30s,하루도 안 빼고 새벽 5시에 일어나는 갓생 루틴 실천 중이야.,"Spreading by introducing diligent routines on YouTube, Instagram, etc.",2020,Casual,Word,Korean
반모,Speaking in informal speech,Relationships,Neutral,Community,10s,반모 가능하신 분만 DM 주세요~ 서로 반말로 친해져요!,Appearing with requests for informal speech mode on SNS such as Twitter.,2018,Casual,Word,Korean
킹정,Strongly agree / Massive acknowledgment,Conversational,Neutral,Twitter,10s-20s,이 영화 진짜 인생작이야. 킹정 안 할 수가 없다.,"In the community, the combination of 'King + Acknowledgement' has become a meme.",2020,Casual,Word,Korean
ㅂㅂㅂㄱ,Undeniable or Irrefutable — a statement or fact so clear and convincing that no one can argue against it.,Conversational,Neutral,Youtube,10s-20s,"A: 뉴진스는 진짜 Z세대 대표 그룹임
B: ㅂㅂㅂㄱ","This originated as a meme format emphasizing an irrefutable argument, used to express empathy or support, by only taking consonants.",2016,Casual,Word,Korean
MZ,M+Z generation(Alpha generation inlcuded),lifestyle,Neutral,Community,20s-30s,요즘 MZ들은 워라밸 진짜 중요하게 생각하더라,"The traditional generational divisions (such as Baby Boomers, Generation X, etc.) are insufficient to explain the consumption patterns and social values of digital natives. Thus, we began to emphasize and group together the commonalities of Millennials and Generation Z.",2020,Casual,Word,Korean
슬세권,A neighborhood close enough to go in slippers,lifestyle,Positive,Twitter,20s,우리 집 완전 슬세권이야. 슬리퍼 신고도 카페 세 군데는 찍고 온다.,"This Korean text translates to English as: ""A newly coined term in real estate and lifestyle, it refers to a highly accessible commercial area where one can even go around in slippers. It originated as a parody of the term 'station area'.""",2019,Casual,Word,Korean
이생망,This life is doomed,Negative Experiences,Negative,null,20s,또 면접 탈락했어... 진짜 이생망이다.,"This Korean text translates to English as: ""Spread as a self-mocking meme in communities such as DC Inside.""",2016,Casual,Word,Korean
자낳괴,A monster born of capitalism,Economy,Negative,Community,20s-30s,게임 과금 또 했어. 나 진짜 자낳괴 인정...,Used as a phrase to satirize the negative effects of capitalism in online communities.,2018,Casual,Word,Korean
완내스,Totally my style,Conversational,Positive,Twitter,20s,오늘 데이트룩 어때? 완내스하지 않아?,It is used reflecting the strong personal preferences of the MZ generation.,2021,Casual,Word,Korean
마해자,Someone who looks better with a mask on (mask scammer),Beauty,Positive,"Youtube,Tiktok",20s,마스크 벗었더니 주변 반응이 좋아졌어... 나 마해자였나 봐.,The term refers to people who have suffered due to their appearance being hidden by mask wearing. It emerged as mask wearing became a daily routine due to the COVID-19 pandemic.,2020,Casual,Word,Korean
길막,"someone or something blocks your path, either physically or virtually — intentionally or unintentionally.",Negative Experiences,Negative,"Youtube,Tiktok",10s-20s,와 저 사람 길막 개심하네,First used to describe the act of obstructing the movement of other players in online games.,2006,Casual,Word,Korean
빠태,"quick switch-up, instant turnaround, mood flip, fast backpedal",Conversational,Neutral,Community,10s-20s,"A: ""아 나 저 아이돌 별로야…""
(5분 뒤)
""하 진짜 너무 잘생겼다 내 최애임""
B: ""야ㅋㅋㅋ 빠태 무엇ㅋㅋ""",This phrase satirizes the young generation's knack for quickly adapting their behavior in response to conflicts or changes in relationships.,2021,Casual,Word,Korean
자강두천,Two prideful geniuses (often rivals),Relationships,Neutral,Community,10s-20s,이 둘의 싸움은 진짜 자강두천이다. 누가 이길지 몰라.,Used to describe a fiercely competitive situation in an online community.,2016,Casual,Word,Korean
갑통알,I just saw my bank account and now I need a side job,Economy,Negative,Community,20s,이번 시험 망했어... 갑자기 통장 잔고를 보니 알바밖에 답이 없네.,"Expressing the reality of insufficient balance self-mockingly, it's trending in online communities.",2019,Casual,Word,Korean
내또출,I have to go to work again tomorrow,lifestyle,Negative,Youtube,20s-30s,내또출이야.. 가기 싫어죽겠어,"This Korean text translates to English as: ""Used frequently on 'Blind', a community for office workers, to humorously express the fatigue and repetitive daily life of office workers.""",2020,Casual,Word,Korean
일며들다,Work has seeped into my life,Positive Experiences,Neutral,Twitter,20s-30s,벌써 10시야? 일며들었다. 시간가는 줄 몰랐어.,It is used to describe the state of becoming increasingly engrossed in a specific task or hobby.,2020,Casual,Phrase,Korean
핑프,Someone who asks questions instead of searching (Finger Princess),Negative Experiences,Negative,Twitter,20s,검색 좀 하지... 뭐든지 물어보는 핑프 정말 싫어.,This term originated from the DC Inside and spread to online communities. It is used to refer to a person who asks questions or comments to others instead of searching for information themselves.,2012,Casual,Word,Korean
디토하다,"slang expression that comes from the K-pop song ""Ditto"" by NewJeans, ""I feel the same,” “Same here,” or “I totally agree with you.",Conversational,Positive,Twitter,10s-20s,"A: “그 노래 들으면 이상하게 눈물 날 것 같아.”
B: “디토했다 진짜…”",The song 'ditto' by Newzins has become a meme and is used to express agreement.,2022,Casual,Phrase,Korean
스불재,A self-inflicted disaster,Negative Experiences,Negative,Twitter,10s-20s,덕질 시작은 스스로 불러온 재앙이지. 이제 돈이 없다.,Used to describe a self-inflicted situation on social media.,2019,Casual,Word,Korean
ㄱㅇㄷ,Ridiculously absurd / makes no sense,Positive Experiences,Neutral,Twitter,10s,엄마가 갑자기 용돈 줬어. 완전 ㄱㅇㄷ이야,"This is a phrase often used in the League of Legends (LoL) broadcasts by the game broadcaster BJ Haemul Pajeon, which has become popular. It's a newly coined term in internet slang meaning 'made a big profit', and it has spread across online communities.",2007,Casual,Word,Korean
잼얘,a boring story,Conversational,Positive,Twitter,10s-20s,“아 진짜 잼얘ㅋㅋ 그만해 제발,"The humorous expressions using 'jam', such as 'no jam/good jam', naturally emerged and spread in the online and gaming culture.",2023,Casual,Word,Korean
국가권력급,Powerful as a national institution,Humor and Exaggerated,Neutral,null,20s,저 친구의 인맥은 거의 국가권력급이다.,"The phrase first appeared in the Japanese manga 'Baki the Grappler', where it was used to mean that a person's combat power is comparable to that of a nation. Later, it was used in the Korean webtoon 'Solo Leveling' to refer to certain hunters, which increased its recognition. The phrase spread like a meme after being used by the broadcaster Ralro.",2024,Casual,Word,Korean
폭룡적,Explosively amazing (used for celebs/idols),Humor and Exaggerated,Positive,Twitter,10s-20s,그의 텐션은 폭룡적이야. 너무 활발해서 따라가기 힘들어.,"This phrase originated from 'Bakuryu', a character in the Japanese manga 'Makai Taisen', and became popular due to the nickname of a Twitter user. It is used to express strong admiration or impression.",2023,Casual,Word,Korean
농협은행,You’re too pretty (internet slang origin),Humor and Exaggerated,Positive,Community,20s,너 오늘 눈부시다! 넌 너무 농협은행~~,"This originated from a humorous incident that became popular in an online community, where a convenience store part-time worker misheard a foreigner's pronunciation of 'Nonghyup Bank' as 'You're so pretty.'",2018,Casual,Word,Korean
빼박캔트,No way out / caught in a dilemma,Conversational,Neutral,Community,10s-20s,이건 누가 봐도 너가 한 거야. 빼박캔트임.,"The phrase, a combination of the Korean phrase '빼도 박도 못하다' and the English 'can't', meaning 'unable to do', has spread online with the meaning of 'definite' or 'certain'.",2016,Casual,Word,Korean
캘박,"“He keeps spamming emojis and yelling in chat.”
“Classic jaemini behavior…”",Conversational,Neutral,Twitter,10s-20s,나 다음주 수요일 약속있어서 캘박해놨음.,"The term '박제' originates from the practice of managing schedules and important appointments by recording them in a smartphone calendar app, promising not to forget them. It also refers to the act of storing important information. In this context, '박제' is used to describe these behaviors.",2022,Casual,Word,Korean
만반잘부,"Nice to meet you, let's work well together",Relationships,Positive,Community,10s,"만나서 반가워요, 앞으로 잘 부탁드립니다~ 만반잘부!","Used for the first greeting online, it started to become popular on social media and messengers.",2018,Casual,Word,Korean
잼민이,"elementary school students,  mock childish, noisy, or immature behavior",Humor and Exaggerated,Negative,Instagram,10s-20s,잼민이들 또 몰려왔네;;,"The term originated from the young male TTS 'Jaemin' of 2nation, and it spread on Twitch, becoming distorted to mean belittling young children.",2019,Casual,Word,Korean
어쩔티비,So what? / Whatever (used mockingly),Conversational,Neutral,Youtube,10s,싫으면 어쩔티비~ 관심 없거든요~,This started in the early to mid-teens and spread through online communities. It is used to mockingly refer to the act of blocking and ignoring what others say.,2021,Casual,Word,Korean
H워얼V,“I love you” spelled backward,Relationships,Positive,null,10s,난 널 너무 H워얼V~! 평생 내 옆에 있어줘~~,"This phrase originated from an online community, and it's derived from the shape that looks like HwarV when 'I love you' is flipped upside down.",2018,Casual,Word,Korean
뇌절,Criticism for not knowing when to stop,Hobbies,Neutral,Youtube,10s-20s,웃기긴 한데 이제 그만해. 좀 뇌절이야.,"This term originated from the 'Chidori' jutsu in the Japanese manga 'Naruto'. It has spread as a new slang term used sarcastically to criticize situations where the same words or actions are repeated, ruining the atmosphere.",2019,Casual,Word,Korean
추구미,Your unique aesthetic/traits you pursue,Beauty,Neutral,Twitter,20s,저 사람 진짜 말투랑 행동에 추구미 철철 넘쳐.,"This phrase originated from uploading photos of famous celebrities or idols on Twitter, and it spread to other communities. It is used when uploading content related to one's own tastes and styles.",2023,Casual,Word,Korean
맛꿀마,Super tasty / better than delicious,Positive Experiences,Neutral,Youtube,10s-20s,이 떡볶이 진짜 맛꿀마! 여긴 꼭 다시 와야 돼.,The term is used to mean 'delicious' and is a word created by imitating the Gyeongsang Province dialect on the YouTube channel 'Pisik University'.,2024,Casual,Word,Korean
졌잘싸,"We lost, but we fought well, to praise a strong or admirable effort in a loss, especially when the performance was impressive despite the defeat.",Positive Experiences,Positive,Community,10s-20s,우승은 못 했지만 퍼포먼스는 레전드였다. 졌잘싸였지!,"This Korean text translates to English as: ""The phrase 'we lost, but fought well', which was used on terrestrial broadcasting after the defeat in the 2006 Germany World Cup match against Switzerland, is a shortened expression used online during games or matches.""",2018,Casual,Word,Korean
